cells,Gen1,Gen2,Gen3,Gen 4,Gen 5
A83,1.0019582262109,0,0,6.07143081403291,0
A84,0,0,0,0,0
A85,3.01771667252281,2.00785343002263,0,2.00785343002263,1.0019582262109
A86,2.00785343002263,0,1.0019582262109,3.01771667252281,3.01771667252281
A87,0,0,0,0,0
A88,2.00785343002263,0,4.03157938384363,10.2005525880831,18.6641333268705
A89,0,0,0,1.0019582262109,6.07143081403291
A90,0,4.03157938384363,1.0019582262109,0,0
A91,0,3.01771667252281,1.0019582262109,1.0019582262109,0
A92,1.0019582262109,0,0,0,0
A93,0,0,0,0,0
A94,1.0019582262109,5.04947336903132,0,0,3.01771667252281
A95,3.01771667252281,4.03157938384363,6.07143081403291,5.04947336903132,0
A96,0,0,0,0,0
A97,0,10.2005525880831,0,0,0
A98,0,1.0019582262109,0,0,0
A99,1.0019582262109,16.5218614112182,2.00785343002263,6.07143081403291,0
A100,5.04947336903132,2.00785343002263,5.04947336903132,5.04947336903132,16.5218614112182
A101,0,0,0,0,0
A102,0,0,0,1.0019582262109,0
A103,0,0,0,0,0
A104,0,0,0,0,0
A105,0,5.04947336903132,0,0,3.01771667252281
A106,0,1.0019582262109,3.01771667252281,5.04947336903132,1.0019582262109
A107,0,5.04947336903132,0,3.01771667252281,0
A108,0,0,0,0,0
A109,0,0,0,0,0
A110,0,0,3.01771667252281,5.04947336903132,9.16201161000583
A111,4.03157938384363,4.03157938384363,1.0019582262109,2.00785343002263,2.00785343002263
A112,2.00785343002263,1.0019582262109,0,1.0019582262109,0
A113,0,0,1.0019582262109,1.0019582262109,0
A114,0,1.0019582262109,1.0019582262109,0,0
A115,0,0,0,0,0
A116,0,0,1.0019582262109,1.0019582262109,0
A117,0,0,0,2.00785343002263,0
A118,0,0,0,0,0
A119,0,6.07143081403291,2.00785343002263,2.00785343002263,1.0019582262109
A120,0,1.0019582262109,1.0019582262109,1.0019582262109,0
A121,0,0,0,0,0
A122,7.09748429180284,3.01771667252281,2.00785343002263,6.07143081403291,7.09748429180284
A123,1.0019582262109,0,1.0019582262109,6.07143081403291,3.01771667252281
A124,0,0,0,0,0
A125,3.01771667252281,0,3.01771667252281,18.6641333268705,0
A126,0,0,0,0,0
A127,3.01771667252281,2.00785343002263,5.04947336903132,4.03157938384363,1.0019582262109
A128,0,0,0,0,0
A129,0,2.00785343002263,0,1.0019582262109,3.01771667252281
A130,2.00785343002263,1.0019582262109,0,1.0019582262109,0
A131,0,0,0,0,0
A132,0,0,0,0,1.0019582262109
A133,0,0,1.0019582262109,0,0
A134,0,0,0,0,0
A135,0,0,0,0,4.03157938384363
A136,1.0019582262109,4.03157938384363,0,1.0019582262109,0
A137,1.0019582262109,6.07143081403291,0,0,0
A138,0,0,0,0,0
A139,2.00785343002263,1.0019582262109,0,6.07143081403291,1.0019582262109
A140,6.07143081403291,1.0019582262109,8.12766676853256,34.1840365118778,2.00785343002263
A141,0,0,0,0,0
A142,0,1.0019582262109,0,0,0
A143,0,0,0,2.00785343002263,0
